REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009765	0.179751	0.44554	0.16337840285944374
G000010605	0.186377	0.41188	0.18385712870711185
G000091305	0.187292	0.42726	0.1750549026914219
G000156435	0.184649	0.40809	0.1717849026914219
G000158935	0.184756	0.43831	0.1760449026914219
G000158955	0.185805	0.41959	0.17614490269142186
G000163875	0.196058	0.34045	0.20679690144191698
G000203835	0.185531	0.44712	0.17610490269142193
G000213055	0.200389	0.34211	0.2068682958918867
G000225525	0.196983	0.06122	0.1686049026914219
G000242715		0.18850490269142187
G000253235	0.189633	0.4145	0.17797690144191702
G000317595	0.185278	0.41548	0.17286490269142188
G000331005	0.187061	0.40648	0.17741479300663107
G000349325	0.183614	0.43486	0.1676249026914219
G000373565	0.236556	0.00791	0.16258996526365105
G000375725	0.211774	0.04156	0.1809171234016346
G000376565	0.186569	0.43949	0.1711647930066311
G000384175	0.207022	0.05053	0.178016901441917
G000429085	0.187594	0.36251	0.18452542946838996
G000444875	0.185999	0.41257	0.1578549026914219
G000497425	0.191548	0.37819	0.1956758942850465
G000497445	0.185996	0.40694	0.17180490269142187
G000716215	0.183615	0.43098	0.1727649026914219
G000716805	0.182404	0.42213	0.17920840285944373
G000717025	0.187562	0.37059	0.18799712870711185
G000718095	0.19004	0.36098	0.19043589428504648
G000718315	0.188396	0.40358	0.16951490269142191
G000718595	0.188014	0.40694	0.179346901441917
G000719335	0.195438	0.37714	0.190416901441917
G000719955	0.193279	0.38863	0.1816682958918867
G000720455	0.194584	0.37458	0.197746901441917
G000720475	0.139517	0.66597	0.11599198578465014
G000721105	0.183425	0.42107	0.16589490269142187
G000721235	0.186813	0.44598	0.17234490269142191
G000721265	0.199347	0.32131	0.21428589428504652
G000721275	0.193457	0.4157	0.18268690144191702
G000725495	0.185693	0.43213	0.16633840285944373
G000725795	0.186698	0.3806	0.1711949026914219
G000802245	0.193025	0.3215	0.18885490269142188
G000818195	0.21388	0.05158	0.1944358942850465
G000819545	0.178681	0.2439	0.17807490269142187
G000827005	0.18991	0.39583	0.18180736062840874
G000830005	0.190549	0.41165	0.175396901441917
G000968255	0.181455	0.46343	0.16555840285944373
G001005085	0.189301	0.43671	0.1697649026914219
G001013905	0.187173	0.41795	0.16600490269142187
G001278075	0.189004	0.38792	0.19103690144191698
G001279695	0.184379	0.41722	0.184286901441917
G001279725	0.196953	0.3315	0.200766901441917
G001279985	0.187145	0.42891	0.17092490269142188
G001298575	0.187436	0.43822	0.17545479300663108
G001418335	0.184198	0.42511	0.17566840285944374
G001418415	0.185987	0.38082	0.1783749026914219
G001418465	0.165929	0.57478	0.1411143560110502
G001418475	0.184215	0.41765	0.1754549026914219
G001418585	0.187994	0.41204	0.1709349026914219
G001418655	0.181331	0.45889	0.16038840285944375
G001419695	0.186528	0.36234	0.18409490269142192
G001419745	0.164381	0.56129	0.1393743560110502
G001509795	0.18521	0.43126	0.16332490269142189
G001511815	0.187471	0.45709	0.1629549026914219
G001513975	0.183229	0.42069	0.1651149026914219
G001514045	0.183956	0.42957	0.17154490269142186
G001611795	0.185007	0.41869	0.1667149026914219
G001646665	0.188826	0.39547	0.174476901441917
G001654495	0.186055	0.41622	0.16624490269142192
G001660045	0.184476	0.43796	0.17363490269142187
G001693675	0.196093	0.33401	0.204316901441917
G001746425	0.196105	0.36925	0.19374690144191703
G001750785	0.193417	0.3722	0.188556901441917
