REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009245	0.0272768	0.87833	0.054101029884850375
G000011405	0.0275093	0.87857	0.055254445746355074
G000017785	0.0275244	0.87805	0.054102432508609154
G000019285	0.140717	0.65992	0.17105574361970305
G000154145	0.0293652	0.87329	0.05548272298116482
G000168775	0.0272978	0.87852	0.05434167771719879
G000170295	0.0277857	0.877	0.0544058971534277
G000219045	0.161393	0.61234	0.19177683473126442
G000313385	0.0275262	0.87794	0.0547157898526233
G000478845	0.0273646	0.8779	0.05449351758483227
G000505725	0.113127	0.64676	0.16234147695254517
G000524575	0.029432	0.87067	0.05526272298116483
G000742095	0.0314491	0.86555	0.05936096231044572
G000833335	0.0272676	0.87833	0.054101029884850375
G001042545	0.113063	0.64653	0.16167519247166834
G001412545	0.0295252	0.87027	0.05652272298116483
G001574475	0.0274574	0.87793	0.05384623485927097
G001574495	0.0277605	0.87898	0.05384623485927097
G001574555	0.0272781	0.87834	0.05357167771719879
G001574565	0.0273243	0.87741	0.05384623485927097
G001574585	0.0274912	0.87826	0.05384623485927097
G001574605	0.0275612	0.87862	0.05384623485927097
G001574635	0.0276295	0.87865	0.05499351758483226
G001574655	0.0272482	0.87835	0.0538299268037774
G001574705	0.02743	0.87825	0.05384623485927097
G001574735	0.0273399	0.87853	0.0538299268037774
G001574755	0.0274446	0.87823	0.05384623485927097
G001574785	0.0273787	0.87807	0.053776363548068945
G001574795	0.0276833	0.87874	0.05384623485927097
G001574835	0.0276286	0.87878	0.05384623485927097
G001574865	0.0329674	0.34547	0.05363598186523111
G001574905	0.0408649	0.09863	0.054230594724744945
G001574935	0.029969	0.16304	0.054230594724744945
G001574945	0.0366086	0.19833	0.0541859818652311
G001608445	0.106255	0.81918	0.11770059909530871
G001611815	0.0273558	0.87794	0.05468894525206315
G001696925	0.0273728	0.87755	0.05420656697131821
G001696935	0.0272378	0.87692	0.053709539625372706
G001696945	0.0293088	0.87121	0.055242722981164824
G001696955	0.0272721	0.8757	0.053861029884850385
G001753795	0.143245	0.64458	0.15068637125764486
