15	3	1	uniform	REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
15	3	1	uniform	G000009765	0.159686	0.52518	0.17322802680498817
15	3	1	uniform	G000010605	0.184344	0.43259	0.19548082506553277
15	3	1	uniform	G000091305	0.163704	0.50517	0.18366215786256973
15	3	1	uniform	G000092385	0.193358	0.3882	0.22080028347018232
15	3	1	uniform	G000147815	0.192804	0.38803	0.21956028347018233
15	3	1	uniform	G000156435	0.155936	0.49848	0.17540299398318143
15	3	1	uniform	G000158915	0.191963	0.38663	0.22669028347018233
15	3	1	uniform	G000158935	0.155505	0.52713	0.17966299398318147
15	3	1	uniform	G000158955	0.150124	0.53447	0.17946299398318147
15	3	1	uniform	G000163875	0.190237	0.35919	0.21769840909838256
15	3	1	uniform	G000203835	0.160386	0.51667	0.17972299398318148
15	3	1	uniform	G000204605	0.171966	0.44258	0.1833759647009079
15	3	1	uniform	G000213055	0.193898	0.33715	0.21980262786764687
15	3	1	uniform	G000225525	0.181658	0.05372	0.1641277376326149
15	3	1	uniform	G000240165	0.197592	0.34873	0.2182497026939398
15	3	1	uniform	G000242715	0.115231	0.00021	0.19612491190095743
15	3	1	uniform	G000253235	0.183638	0.41218	0.18887840909838258
15	3	1	uniform	G000317595	0.157898	0.51009	0.17994215786256973
15	3	1	uniform	G000331005	0.163201	0.50666	0.18799596470090793
15	3	1	uniform	G000342125	0.192674	0.33444	0.20509308756006306
15	3	1	uniform	G000349325	0.147168	0.55834	0.16616309467366502
15	3	1	uniform	G000373565	0.236311	0.00671	0.19371814279384336
15	3	1	uniform	G000375725	0.238405	0.0238	0.19487082506553277
15	3	1	uniform	G000376565	0.160356	0.55266	0.18174596470090787
15	3	1	uniform	G000380165		0.26163506760179667
15	3	1	uniform	G000381025	0.202018	0.26022	0.2611864252020485
15	3	1	uniform	G000384175	0.21903	0.02812	0.18891840909838262
15	3	1	uniform	G000424785	0.197939	0.29348	0.24441642520204848
15	3	1	uniform	G000424825	0.196612	0.30814	0.2274964252020485
15	3	1	uniform	G000424845	0.197691	0.25311	0.2394364252020485
15	3	1	uniform	G000424965	0.198102	0.28079	0.24441642520204848
15	3	1	uniform	G000426325	0.194992	0.3023	0.22032642520204848
15	3	1	uniform	G000429085	0.17961	0.3882	0.19319082506553276
15	3	1	uniform	G000444875	0.159572	0.50994	0.16547491190095745
15	3	1	uniform	G000497405	0.198907	0.24742	0.2498264252020485
15	3	1	uniform	G000497445	0.159284	0.49209	0.17942491190095744
15	3	1	uniform	G000695235	0.192921	0.3735	0.20515308756006306
15	3	1	uniform	G000716215	0.147304	0.55809	0.17520072284894825
15	3	1	uniform	G000716675	0.178654	0.44662	0.18277814279384338
15	3	1	uniform	G000716805	0.163918	0.49746	0.18905802680498815
15	3	1	uniform	G000717025	0.186773	0.37811	0.19962082506553278
15	3	1	uniform	G000717345	0.186925	0.37378	0.19869308756006304
15	3	1	uniform	G000717745	0.186694	0.37664	0.20640308756006306
15	3	1	uniform	G000718015	0.191811	0.32654	0.20211308756006308
15	3	1	uniform	G000718095	0.184241	0.40109	0.19055005159818159
15	3	1	uniform	G000718315	0.168479	0.47154	0.17713491190095745
15	3	1	uniform	G000718595	0.182945	0.39127	0.19024840909838261
15	3	1	uniform	G000718635	0.192207	0.36602	0.20430308756006302
15	3	1	uniform	G000718985	0.192056	0.31767	0.23024642520204847
15	3	1	uniform	G000719135	0.206471	0.27754	0.2518964252020485
15	3	1	uniform	G000719265	0.18817	0.34207	0.19966308756006307
15	3	1	uniform	G000719335	0.185521	0.39692	0.1993984090983826
15	3	1	uniform	G000719955	0.184909	0.37086	0.19460262786764687
15	3	1	uniform	G000720455	0.186944	0.39046	0.20672840909838258
15	3	1	uniform	G000720475	0.178574	0.40915	0.19087814279384338
15	3	1	uniform	G000721105	0.149043	0.55823	0.16833072284894823
15	3	1	uniform	G000721235	0.160102	0.49925	0.17596299398318146
15	3	1	uniform	G000721265	0.194881	0.32989	0.21871522895466458
