G000516555	G000516555	0	0	10000/10000
G000314735	G000516555	0.247037	4.09138e-94	28/10000
G000218565	G000516555	0.232543	7.27641e-133	38/10000
G001425835	G000516555	0.217673	9.88436e-186	52/10000
G000336555	G000516555	0.223483	5.67407e-163	46/10000
G000308295	G000516555	0.227796	1.56702e-145	42/10000
G000314675	G000516555	0.236445	7.63957e-119	35/10000
G900108575	G000516555	0.23782	9.28527e-114	34/10000
G000013745	G000516555	0.220489	2.21419e-172	49/10000
G000504425	G000516555	0.22668	5.47799e-152	43/10000
G000014825	G000516555	0.217673	3.44706e-184	52/10000
G000935205	G000516555	0.220489	2.44012e-171	49/10000
G000013365	G000516555	0.214163	2.09343e-200	56/10000
G001295845	G000516555	0.211692	1.20612e-210	59/10000
G000333455	G000516555	0.220489	2.23989e-172	49/10000
G000195775	G000516555	0.218593	2.53072e-180	51/10000
G000013885	G000516555	0.232543	1.21522e-130	38/10000
G000012725	G000516555	0.25242	2.78737e-84	25/10000
G000701345	G000516555	0.240698	6.41959e-106	32/10000
G000472865	G000516555	0.232543	6.35888e-126	38/10000
G000379145	G000516555	0.221466	8.48932e-164	48/10000
G000938305	G000516555	0.22668	3.6459e-146	43/10000
G900104755	G000516555	0.224525	2.22262e-153	45/10000
G001440405	G000516555	0.233808	7.09839e-123	37/10000
G001693385	G000516555	0.235108	1.63593e-119	36/10000
G001440475	G000516555	0.228939	7.93144e-138	41/10000
G000472385	G000516555	0.25242	2.14863e-79	25/10000
G000472425	G000516555	0.235108	2.16355e-119	36/10000
G000344805	G000516555	0.22668	8.5676e-146	43/10000
G000239815	G000516555	0.245371	8.30217e-94	29/10000
G001641695	G000516555	0.227796	1.1132e-141	42/10000
G001908185	G000516555	0.23782	7.13546e-112	34/10000
G000938285	G000516555	0.235108	1.93263e-119	36/10000
G900011245	G000516555	0.22668	1.86029e-146	43/10000
G000473125	G000516555	0.224525	3.651e-152	45/10000
G000011365	G000516555	0.23011	7.34377e-134	40/10000
G000284375	G000516555	0.23782	1.42303e-111	34/10000
G000516555	G000314735	0.247037	4.09138e-94	28/10000
G000314735	G000314735	0	0	10000/10000
G000218565	G000314735	0.159669	0	178/10000
G001425835	G000314735	0.193877	0	86/10000
G000336555	G000314735	0.197886	2.0302e-300	79/10000
G000308295	G000314735	0.222464	4.82182e-167	47/10000
G000314675	G000314735	0.202271	1.97538e-268	72/10000
G900108575	G000314735	0.228939	3.7927e-142	41/10000
G000013745	G000314735	0.224525	7.99677e-159	45/10000
G000504425	G000314735	0.221466	1.25227e-173	48/10000
G000014825	G000314735	0.227796	4.21672e-147	42/10000
G000935205	G000314735	0.223483	7.10163e-162	46/10000
G000013365	G000314735	0.218593	7.18515e-183	51/10000
G001295845	G000314735	0.217673	1.76238e-185	52/10000
G000333455	G000314735	0.224525	8.07349e-159	45/10000
G000195775	G000314735	0.218593	1.26009e-182	51/10000
G000013885	G000314735	0.215016	1.51933e-199	55/10000
G000012725	G000314735	0.227796	2.00512e-151	42/10000
G000701345	G000314735	0.233808	2.23342e-126	37/10000
G000472865	G000314735	0.23011	1.26274e-135	40/10000
G000379145	G000314735	0.220489	2.33845e-170	49/10000
G000938305	G000314735	0.220489	1.13362e-171	49/10000
G900104755	G000314735	0.223483	1.19887e-159	46/10000
G001440405	G000314735	0.22668	1.09685e-147	43/10000
G001693385	G000314735	0.23782	6.08335e-114	34/10000
G001440475	G000314735	0.223483	3.06397e-159	46/10000
G000472385	G000314735	0.243761	5.95223e-99	30/10000
G000472425	G000314735	0.254359	3.32353e-77	24/10000
G000344805	G000314735	0.22559	6.18725e-152	44/10000
G000239815	G000314735	0.22559	8.35429e-152	44/10000
G001641695	G000314735	0.220489	5.91801e-171	49/10000
G001908185	G000314735	0.217673	1.23788e-182	52/10000
G000938285	G000314735	0.224525	1.15904e-155	45/10000
G900011245	G000314735	0.223483	2.79043e-160	46/10000
G000473125	G000314735	0.22668	4.60094e-147	43/10000
G000011365	G000314735	0.220489	1.26411e-170	49/10000
G000284375	G000314735	0.22668	1.95497e-147	43/10000
G000516555	G000218565	0.232543	7.27641e-133	38/10000
G000314735	G000218565	0.159669	0	178/10000
G000218565	G000218565	0	0	10000/10000
G001425835	G000218565	0.199716	9.56692e-288	76/10000
G000336555	G000218565	0.205675	2.20299e-251	67/10000
G000308295	G000218565	0.22668	4.23462e-152	43/10000
G000314675	G000218565	0.211692	2.97394e-216	59/10000
G900108575	G000218565	0.224525	1.46568e-158	45/10000
G000013745	G000218565	0.222464	1.42626e-167	47/10000
G000504425	G000218565	0.215885	9.31148e-199	54/10000
G000014825	G000218565	0.210897	7.91387e-220	60/10000
G000935205	G000218565	0.213325	1.35437e-206	57/10000
G000013365	G000218565	0.217673	8.09998e-188	52/10000
G001295845	G000218565	0.212502	1.43995e-210	58/10000
G000333455	G000218565	0.231311	3.57801e-136	39/10000
G000195775	G000218565	0.221466	1.29821e-171	48/10000
G000013885	G000218565	0.208588	3.65559e-233	63/10000
G000012725	G000218565	0.214163	3.71322e-209	56/10000
G000701345	G000218565	0.232543	5.85198e-131	38/10000
G000472865	G000218565	0.227796	3.53969e-144	42/10000
G000379145	G000218565	0.22559	4.33789e-152	44/10000
G000938305	G000218565	0.22668	2.44507e-149	43/10000
G900104755	G000218565	0.227796	3.6338e-145	42/10000
G001440405	G000218565	0.233808	1.01599e-125	37/10000
G001693385	G000218565	0.233808	5.154e-126	37/10000
