REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009245	0.0093423	0.96572	0.01594422687752189
G000011405	0.0093817	0.9657	0.01729928257097972
G000014605	0.00937742	0.9657	0.01729928257097972
G000017785	0.00927156	0.96565	0.015909308558979016
G000019285	0.166531	0.61693	0.19388092500236798
G000153845	0.00993672	0.95611	0.018656862176111885
G000154145	0.0100902	0.95908	0.01666877866843279
G000170295	0.00950031	0.96546	0.016125481194251237
G000219045	0.180124	0.57039	0.20782447863057338
G000262205	0.162807	0.59243	0.1992877899120172
G000313385	0.0093003	0.96565	0.016297197224366046
G000478845	0.00932197	0.96565	0.01638074944905578
G000505725	0.162009	0.59089	0.19936973531815516
G000524575	0.0103107	0.96339	0.017202972427254448
G000742095	0.0129041	0.95063	0.02227157206054104
G000833335	0.00933168	0.96572	0.01594422687752189
G001042525	0.162026	0.59106	0.19874673299866014
G001412545	0.0102921	0.96274	0.018462972427254448
G001574475	0.00924611	0.96548	0.015622126366089312
G001574485	0.00921861	0.96539	0.015622126366089312
G001574495	0.00934066	0.96574	0.015622126366089312
G001574555	0.00936596	0.96578	0.015420278911474988
G001574565	0.0092855	0.96559	0.015622126366089312
G001574585	0.00934981	0.9659	0.015622126366089312
G001574655	0.00929037	0.96555	0.015662768824013237
G001574695	0.00928678	0.96547	0.01562403103711124
G001574705	0.00922683	0.96553	0.015622126366089312
G001574735	0.00935776	0.96574	0.015662768824013237
G001574755	0.00932385	0.96582	0.015622126366089312
G001574775	0.00935042	0.9656	0.015488092155447674
G001574785	0.00927398	0.96539	0.015579553497343175
G001574795	0.0092925	0.96561	0.015622126366089312
G001574835	0.00933833	0.96582	0.015622126366089312
G001574885	0.00958442	0.90512	0.015651941428785385
G001574905	0.0175543	0.09427	0.015994430460547167
G001574945	0.011546	0.27802	0.016026345414771166
G001608445	0.0967334	0.89574	0.09531012688896
G001611815	0.00947172	0.96556	0.01650771872252685
G001696925	0.00944191	0.9654	0.016064244769776796
G001696935	0.00947586	0.96452	0.01555621779313855
G001753795	0.134874	0.71347	0.13280713062539112
