REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000308355	0.136158	0.36897	0.1737186115175552
G000308495	0.193664	0.24871	0.21448274378785115
G000308515	0.195348	0.27749	0.2203746120206616
G000308595	0.186054	0.28847	0.19547734935512037
G000308615	0.19897	0.26532	0.22484145146352222
G000308655	0.194529	0.27753	0.21188309050917206
G000308675	0.197018	0.22477	0.21740274378785115
G000308715	0.187383	0.33847	0.19372345056208853
G000308795	0.187019	0.31511	0.19506045442106507
G000308835	0.201128	0.17621	0.21279984763181353
G000308875	0.195537	0.29794	0.2087917851087116
G000381925	0.202155	0.26639	0.22160565374090851
G000482385	0.205019	0.16114	0.2560240463246696
G000523235	0.197281	0.26981	0.22189858346608987
G001310275	0.192272	0.27703	0.20466020265275192
G001612765	0.185301	0.30592	0.19565095549534872
G001613465	0.186334	0.31168	0.20045095549534875
G001613505	0.196135	0.27623	0.2142384803736652
G001865855	0.194235	0.26795	0.21570309050917205
G001886715	0.181332	0.29889	0.20323767372775953
