#OTU ID	SRS011061	SRS011084	SRS011086	SRS011090	SRS011098	SRS011105	SRS011111	SRS011115	SRS011126	SRS011134	SRS011140	SRS011144	SRS011152	SRS011239	SRS011243	SRS011247	SRS011255	SRS011269	SRS011271	SRS011302	SRS011306	SRS011310	SRS011343	SRS011355	SRS011405	SRS011452	SRS011529	SRS011586	SRS013234	SRS013252	SRS013258	SRS013261	SRS013502	SRS013506	SRS013638	SRS013687	SRS013705	SRS013711	SRS013723	SRS013825	SRS014235	SRS014271	SRS014287	SRS014343	SRS014613	SRS014923	SRS015133	SRS015174	SRS015190	SRS015395	SRS015425	SRS015470	SRS015574	SRS015578	SRS015663	SRS015762	SRS015782	SRS015854	SRS015921	SRS015960	SRS016002	SRS016018	SRS016056	SRS016095	SRS016203	SRS016225	SRS016267	SRS016319	SRS016331	SRS016335	SRS016349	SRS016437	SRS016517	SRS016529	SRS016533	SRS016541	SRS016585	SRS016600	SRS016753	SRS016944	SRS016954	SRS017076	SRS017080	SRS017088	SRS017103	SRS017127	SRS017139	SRS017191	SRS017209	SRS017215	SRS017227	SRS017304	SRS017307	SRS017497	SRS017521	SRS017533	SRS017537	SRS017701	SRS017713	SRS017788	SRS017821	SRS017849	SRS017851	SRS018133	SRS018145	SRS018149	SRS018157	SRS018313	SRS018329	SRS018337	SRS018394	SRS018427	SRS018439	SRS018443	SRS018501	SRS018513	SRS018591	SRS018739	SRS018791	SRS018817	SRS019081	SRS019245	SRS019267	SRS019381	SRS019582	SRS019685	SRS019787	SRS019894	SRS019906	SRS019910	SRS020233	SRS020261	SRS020263	SRS020386	SRS020869	SRS021484	SRS021496	SRS021986	SRS022006	SRS022609	SRS022621	SRS022625	SRS023176	SRS023557	SRS023617	SRS023914	SRS023926	SRS023930	SRS023938	SRS023971	SRS023987	SRS024265	SRS024277	SRS024281	SRS024289	SRS024310	SRS024331	SRS024347	SRS024355	SRS024388	SRS024424	SRS024470	SRS024482	SRS024580	SRS024596	SRS024598	SRS024625	SRS024637	SRS024649	SRS024655	SRS042628	SRS042643	SRS043411	SRS043422	SRS043701	SRS044474	SRS044902	SRS045197	SRS047113	SRS047219	SRS047225	SRS047265	SRS047634	SRS048870	SRS049164	SRS049389	SRS049959	SRS050422	SRS051031	SRS052697	SRS053335	SRS054590	SRS055450	SRS056259	SRS056796	SRS057692	SRS058182	SRS058770	SRS062427	SRS062540	SRS062544	SRS063287	SRS063603	SRS063985	SRS064276	SRS064493	SRS064557	SRS064809	SRS065278	SRS065310
G000006605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	922.0	0.0	0.0	0.0	0.0	675.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G000006785	0.0	0.0	194.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	107.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	100.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	132.0	94.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	105.0	0.0	0.0	124.0	111.0	0.0	0.0	167.0	0.0	0.0	0.0	187.0	0.0	157.0	0.0	101.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	79.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	126.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	251.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0
G000006845	0.0	0.0	0.0	128.0	110.0	0.0	0.0	3214.0	738.0	0.0	1726.0	3473.0	1385.0	0.0	1592.0	368.0	379.0	0.0	0.0	0.0	198.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	1276.0	1242.0	0.0	0.0	955.0	187.0	891.0	315.0	0.0	1768.0	0.0	0.0	0.0	0.0	0.0	1765.0	0.0	117.0	0.0	3759.0	364.0	0.0	0.0	1412.0	0.0	0.0	1301.0	0.0	7222.0	0.0	0.0	0.0	0.0	4864.0	0.0	561.0	406.0	0.0	517.0	0.0	0.0	0.0	0.0	0.0	0.0	386.0	0.0	0.0	0.0	190.0	477.0	1004.0	0.0	520.0	3116.0	0.0	5213.0	823.0	1723.0	1415.0	0.0	0.0	0.0	742.0	0.0	0.0	7786.0	1136.0	0.0	0.0	0.0	0.0	537.0	267.0	1509.0	0.0	0.0	568.0	1237.0	0.0	6987.0	0.0	771.0	383.0	206.0	550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.0	372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1888.0	0.0	0.0	0.0	1742.0	361.0	0.0	2301.0	371.0	0.0	2402.0	89.0	1300.0	0.0	115.0	0.0	121.0	0.0	204.0	0.0	0.0	1164.0	3734.0	0.0	0.0	1883.0	141.0	2340.0	0.0	0.0	0.0	122.0	429.0	0.0	0.0	0.0	0.0	2039.0	0.0	0.0	0.0	2955.0	996.0	143.0	0.0	1328.0	1080.0	0.0	0.0	1511.0	0.0	0.0	0.0	0.0	0.0	0.0	206.0	0.0	0.0	2593.0	0.0	0.0	0.0	232.0	1830.0	524.0	788.0	0.0	0.0	1479.0	0.0	1934.0	559.0	416.0
G000006865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1026.0	0.0	0.0	0.0	297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1343.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	298.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	544.0	195.0	0.0	0.0	1478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G000006925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	112130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	869.0	0.0	0.0	0.0	0.0	0.0	0.0	2090.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	1134.0	811.0	0.0	0.0	0.0	0.0	77.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	387.0	0.0	0.0	0.0	0.0	0.0
G000007145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G000007265	0.0	0.0	366.0	450.0	0.0	0.0	0.0	89.0	0.0	0.0	186.0	169.0	0.0	0.0	128.0	398.0	0.0	0.0	0.0	0.0	170.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	170.0	157.0	0.0	0.0	98.0	110.0	0.0	223.0	0.0	0.0	0.0	382.0	0.0	0.0	0.0	94.0	0.0	434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	345.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	153.0	0.0	0.0	233.0	256.0	153.0	0.0	276.0	0.0	0.0	0.0	206.0	218.0	309.0	0.0	147.0	0.0	0.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	169.0	253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	187.0	0.0	0.0	386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.0	0.0	0.0	138.0	233.0	0.0	235.0	0.0	0.0	99.0	184.0	0.0	0.0	156.0	0.0	148.0	484.0	0.0	0.0	0.0	212.0	0.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0	0.0	284.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0	0.0
G000007325	0.0	0.0	138.0	202.0	1647.0	0.0	0.0	3288.0	13589.0	0.0	1094.0	1445.0	10266.0	0.0	1834.0	668.0	9551.0	0.0	0.0	0.0	2885.0	2694.0	7932.0	0.0	0.0	0.0	0.0	0.0	384.0	9238.0	0.0	0.0	572.0	177.0	0.0	0.0	2884.0	3451.0	8507.0	824.0	0.0	1013.0	0.0	0.0	0.0	0.0	0.0	2985.0	0.0	99.0	0.0	1611.0	12659.0	0.0	0.0	2302.0	0.0	0.0	192.0	0.0	1296.0	0.0	0.0	0.0	0.0	1189.0	0.0	2656.0	7733.0	0.0	591.0	0.0	0.0	870.0	824.0	8450.0	0.0	635.0	0.0	0.0	0.0	803.0	773.0	909.0	0.0	950.0	874.0	0.0	4175.0	1101.0	6594.0	1991.0	0.0	0.0	0.0	2145.0	723.0	0.0	490.0	8630.0	0.0	0.0	0.0	0.0	5516.0	816.0	10267.0	0.0	346.0	1938.0	9014.0	0.0	2263.0	2456.0	1337.0	3131.0	817.0	2065.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	7263.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	3450.0	314.0	0.0	0.0	1964.0	1348.0	0.0	1339.0	3428.0	0.0	3786.0	404.0	3021.0	0.0	2322.0	0.0	1152.0	253.0	5900.0	0.0	0.0	541.0	1291.0	0.0	0.0	2363.0	583.0	4777.0	0.0	0.0	0.0	1069.0	8293.0	0.0	0.0	3149.0	0.0	1260.0	0.0	0.0	0.0	15496.0	22693.0	237.0	0.0	5678.0	10572.0	0.0	0.0	2708.0	0.0	0.0	0.0	0.0	0.0	0.0	10077.0	0.0	0.0	3948.0	0.0	0.0	0.0	490.0	372.0	506.0	5088.0	0.0	0.0	357.0	0.0	646.0	1096.0	5212.0
G000007465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	562.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	971.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0	372.0
G000007525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	134.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.0	0.0	0.0	0.0	256.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13486.0	0.0	0.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	0.0	0.0	5072.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	936.0	0.0	0.0	0.0	0.0	0.0	0.0	199.0	0.0	1244.0	0.0	0.0	0.0	909.0	0.0	0.0	0.0	677.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	522.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3071.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2550.0	0.0	2639.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	775.0	0.0	0.0	298.0	0.0	0.0	0.0	423.0	0.0	0.0	0.0	0.0	0.0
