REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009765	0.154292	0.58709	0.15153511244262347
G000010605	0.179689	0.43205	0.19976593599966713
G000091305	0.141275	0.67334	0.1417203652951633
G000092385	0.186554	0.43921	0.22632593599966716
G000147815	0.188928	0.42183	0.22508593599966714
G000156435	0.156383	0.54256	0.15332946637193906
G000158915	0.18562	0.43262	0.23221593599966717
G000158935	0.15849	0.56113	0.15758946637193905
G000158955	0.153482	0.57443	0.15768946637193904
G000163875	0.185111	0.41096	0.21893593599966715
G000203835	0.159459	0.56871	0.15764946637193905
G000204605	0.166857	0.49217	0.16006720859997253
G000213055	0.187577	0.37099	0.21771593599966715
G000225525	0.189514	0.04466	0.14942062644949505
G000240165	0.193236	0.36251	0.22863593599966714
G000242715		0.17180237251452574
G000253235	0.177313	0.44861	0.19011593599966714
G000317595	0.142119	0.63574	0.13828001608955787
G000331005	0.155671	0.62811	0.16363720859997252
G000342125	0.186573	0.3757	0.21005593599966715
G000349325	0.152014	0.60565	0.14844062644949507
G000373565	0.208834	0.01576	0.18282593599966715
G000373665	0.199179	0.03355	0.23337593599966716
G000375725	0.223092	0.0355	0.19915593599966713
G000376565	0.153996	0.62557	0.15738720859997252
G000380165	0.153111	0.00027	0.27134593599966716
G000381025	0.20125	0.28177	0.26922593599966715
G000384175	0.213035	0.03173	0.19015593599966715
G000424785	0.196749	0.33229	0.25245593599966715
G000424825	0.194818	0.32947	0.23553593599966716
G000424845	0.196206	0.28048	0.24747593599966716
G000424965	0.1959	0.30444	0.25245593599966715
G000426325	0.191028	0.32417	0.22836593599966715
G000429085	0.176713	0.41322	0.19747593599966715
G000444875	0.158612	0.54338	0.14115237251452578
G000497405	0.194506	0.28366	0.2578659359996672
G000497425	0.183654	0.42937	0.20819593599966715
G000497445	0.157876	0.54546	0.15510237251452574
G000695235	0.185995	0.40278	0.21011593599966716
G000716215	0.146567	0.64036	0.146864228176847
G000716675	0.173992	0.48625	0.17188593599966717
G000716805	0.16014	0.5806	0.1676981107458031
G000717025	0.181536	0.40937	0.20390593599966714
G000717345	0.18342	0.40922	0.20365593599966714
G000717745	0.182371	0.41487	0.21136593599966716
G000718015	0.186136	0.37301	0.20707593599966717
G000718095	0.183091	0.43493	0.2029559359996671
G000718315	0.164072	0.5117	0.15281237251452578
G000718595	0.177577	0.42586	0.19148593599966715
G000718635	0.186392	0.40231	0.20926593599966714
G000718985	0.189108	0.33091	0.23828593599966713
G000719135	0.201993	0.30219	0.2599359359996672
G000719265	0.183453	0.39581	0.20462593599966716
G000719335	0.181762	0.4333	0.20255593599966715
G000719955	0.180187	0.40079	0.19251593599966715
G000720455	0.181736	0.41612	0.20988593599966715
G000720475	0.174051	0.44712	0.17998593599966717
G000721105	0.14431	0.64322	0.139994228176847
G000721235	0.161154	0.53535	0.15388946637193904
G000721265	0.1888	0.3599	0.22680593599966714
G000721275	0.178697	0.44612	0.19482593599966713
G000721445	0.198852	0.34915	0.24880593599966713
G000725795	0.163658	0.46946	0.15449237251452574
G000745345	0.194601	0.3338	0.24050593599966713
G000802245	0.167767	0.45568	0.17215237251452575
G000818195	0.218408	0.03723	0.20695593599966716
G000819545	0.179005	0.14194	0.16299611715186924
G000827005	0.177765	0.43214	0.19253593599966715
G000830005	0.178078	0.45582	0.18753593599966714
G000935125	0.183333	0.38596	0.20308593599966718
G000938975	0.186723	0.43568	0.22163593599966713
G000964305	0.1965	0.31839	0.2525959359996671
G000968255	0.155035	0.59657	0.15371511244262348
G000993785	0.197562	0.29351	0.25185593599966716
G001005085	0.155609	0.61975	0.15306237251452576
G001011035	0.197951	0.38542	0.24230593599966715
G001013905	0.159551	0.53734	0.14754946637193905
G001083795	0.202297	0.32294	0.2596559359996672
G001187435	0.186396	0.37415	0.20756593599966716
G001278075	0.177713	0.44461	0.20317593599966713
G001279695	0.175756	0.44267	0.19642593599966715
G001279725	0.1821	0.38757	0.21290593599966715
G001279985	0.157612	0.55206	0.15246946637193903
G001298575	0.160674	0.56556	0.16167720859997253
G001418335	0.159207	0.54127	0.1641581107458031
G001418415	0.160738	0.49863	0.15991946637193905
G001418465	0.172526	0.47757	0.17442593599966716
G001418495	0.179172	0.36022	0.21172593599966716
G001418585	0.152812	0.60289	0.15038520482263806
G001418655	0.156769	0.61115	0.1488781107458031
G001419695	0.15983	0.45556	0.16563946637193905
G001419745	0.169326	0.48992	0.17268593599966714
G001493375	0.200177	0.30228	0.24859593599966717
G001509795	0.154756	0.54519	0.1441406264494951
G001511815	0.158288	0.57142	0.14625237251452577
G001513975	0.145927	0.62488	0.14593062644949506
G001611795	0.153984	0.60386	0.14825946637193904
G001646665	0.174119	0.43957	0.18661593599966714
G001654495	0.161629	0.51196	0.1495423725145258
G001660045	0.159237	0.55217	0.15517946637193902
G001693675	0.183855	0.4054	0.21645593599966714
G001729485	0.183866	0.42132	0.20189593599966715
G001746425	0.181455	0.41612	0.20588593599966715
G001750785	0.180446	0.39979	0.20069593599966712
G001751375	0.195819	0.3141	0.25325593599966717
G001905365	0.18065	0.43526	0.19386593599966714
G900090125	0.1965	0.31839	0.25235593599966716
G900142575	0.193151	0.38698	0.24126593599966717
